tweet_id,favorites,retweets,user_followers,user_favourites,date_time
757400162377592832,15051,6802,8822108,145808,2016-07-25 02:20:45+00:00
757393109802180609,5785,1723,8822108,145808,2016-07-25 01:52:43+00:00
757354760399941633,4499,1409,8822108,145808,2016-07-24 23:20:20+00:00
756998049151549440,6244,1973,8822108,145808,2016-07-23 23:42:53+00:00
756939218950160384,6616,1994,8822108,145808,2016-07-23 19:49:07+00:00
756651752796094464,5022,1290,8822108,145808,2016-07-23 00:46:50+00:00
756526248105566208,10369,3554,8822108,145808,2016-07-22 16:28:07+00:00
756303284449767430,3908,1088,8822108,145808,2016-07-22 01:42:09+00:00
756288534030475264,43792,17584,8822108,145808,2016-07-22 00:43:32+00:00
756275833623502848,6378,1517,8822108,145808,2016-07-21 23:53:04+00:00
755955933503782912,7281,2861,8822107,145808,2016-07-21 02:41:54+00:00
755206590534418437,16362,5327,8822107,145808,2016-07-19 01:04:16+00:00
755110668769038337,21073,11020,8822107,145808,2016-07-18 18:43:07+00:00
754874841593970688,0,7843,8822107,145808,2016-07-18 03:06:01+00:00
754856583969079297,6873,2499,8822107,145808,2016-07-18 01:53:28+00:00
754747087846248448,2576,514,8822107,145808,2016-07-17 18:38:22+00:00
754482103782404096,5255,1943,8822107,145808,2016-07-17 01:05:25+00:00
754449512966619136,3730,728,8822107,145808,2016-07-16 22:55:55+00:00
754120377874386944,7843,2348,8822107,145808,2016-07-16 01:08:03+00:00
753655901052166144,5807,2158,8822107,145808,2016-07-14 18:22:23+00:00
753420520834629632,7856,3535,8822107,145808,2016-07-14 02:47:04+00:00
753398408988139520,5721,1884,8822107,145808,2016-07-14 01:19:12+00:00
753375668877008896,7594,2307,8822107,145808,2016-07-13 23:48:51+00:00
753298634498793472,0,5648,8822107,145808,2016-07-13 18:42:44+00:00
753294487569522689,3349,1033,8822107,145808,2016-07-13 18:26:16+00:00
753039830821511168,36916,20711,8822107,145808,2016-07-13 01:34:21+00:00
753026973505581056,3903,956,8822107,145808,2016-07-13 00:43:15+00:00
752932432744185856,12550,6816,8822107,145808,2016-07-12 18:27:35+00:00
752917284578922496,6897,1566,8822107,145808,2016-07-12 17:27:23+00:00
752701944171524096,0,2832,8822107,145808,2016-07-12 03:11:42+00:00
752682090207055872,5974,1580,8822107,145808,2016-07-12 01:52:49+00:00
752660715232722944,4359,1545,8822107,145808,2016-07-12 00:27:52+00:00
752568224206688256,5461,2264,8822748,145809,2016-07-11 18:20:21+00:00
752519690950500352,7320,3415,8822107,145808,2016-07-11 15:07:30+00:00
752334515931054080,3789,1085,8822107,145808,2016-07-11 02:51:40+00:00
752309394570878976,0,16113,8822107,145808,2016-07-11 01:11:51+00:00
752173152931807232,5933,1823,8822107,145808,2016-07-10 16:10:29+00:00
751950017322246144,3042,904,8822107,145808,2016-07-10 01:23:49+00:00
751937170840121344,5160,1317,8822107,145808,2016-07-10 00:32:46+00:00
751830394383790080,5775,1927,8822107,145808,2016-07-09 17:28:29+00:00
751793661361422336,5790,2876,8822107,145808,2016-07-09 15:02:31+00:00
751598357617971201,7876,3018,8822107,145808,2016-07-09 02:06:27+00:00
751583847268179968,4364,1090,8822106,145808,2016-07-09 01:08:47+00:00
751538714308972544,5008,1251,8822106,145808,2016-07-08 22:09:27+00:00
751456908746354688,3193,992,8822106,145808,2016-07-08 16:44:23+00:00
751251247299190784,12431,5824,8822106,145808,2016-07-08 03:07:09+00:00
751205363882532864,6287,1799,8822106,145808,2016-07-08 00:04:50+00:00
751132876104687617,5032,1292,8822106,145808,2016-07-07 19:16:47+00:00
750868782890057730,4753,1348,8822106,145808,2016-07-07 01:47:22+00:00
750719632563142656,13087,4988,8822106,145808,2016-07-06 15:54:42+00:00
750506206503038976,4409,1133,8822106,145808,2016-07-06 01:46:38+00:00
750429297815552001,13093,4237,8822106,145808,2016-07-05 20:41:01+00:00
750383411068534784,4525,1141,8822106,145808,2016-07-05 17:38:41+00:00
750381685133418496,689,27,8822106,145808,2016-07-05 17:31:49+00:00
750147208377409536,3084,954,8822106,145808,2016-07-05 02:00:06+00:00
750132105863102464,3590,1286,8822106,145808,2016-07-05 01:00:05+00:00
750117059602808832,4303,1297,8822107,145808,2016-07-05 00:00:18+00:00
750101899009982464,3024,832,8822107,145808,2016-07-04 23:00:03+00:00
750086836815486976,2155,528,8822107,145808,2016-07-04 22:00:12+00:00
750071704093859840,7778,3296,8822107,145808,2016-07-04 21:00:04+00:00
750056684286914561,3141,890,8822107,145808,2016-07-04 20:00:23+00:00
750041628174217216,3151,608,8822107,145808,2016-07-04 19:00:33+00:00
750026558547456000,2704,783,8822107,145808,2016-07-04 18:00:41+00:00
750011400160841729,3229,899,8822107,145808,2016-07-04 17:00:26+00:00
749996283729883136,3051,808,8822107,145808,2016-07-04 16:00:22+00:00
749981277374128128,5086,2441,8822107,145808,2016-07-04 15:00:45+00:00
749774190421639168,4635,1307,8822107,145808,2016-07-04 01:17:51+00:00
749417653287129088,6068,1622,8822107,145808,2016-07-03 01:41:06+00:00
749403093750648834,2602,530,8822107,145808,2016-07-03 00:43:15+00:00
749395845976588288,8494,3400,8822107,145808,2016-07-03 00:14:27+00:00
749317047558017024,5458,2215,8822107,145808,2016-07-02 19:01:20+00:00
749075273010798592,5717,2053,8822107,145808,2016-07-02 03:00:36+00:00
749064354620928000,4772,1506,8822107,145808,2016-07-02 02:17:13+00:00
749036806121881602,3071,788,8822107,145808,2016-07-02 00:27:45+00:00
748977405889503236,10690,3362,8822107,145808,2016-07-01 20:31:43+00:00
748932637671223296,5763,2222,8822107,145808,2016-07-01 17:33:49+00:00
748705597323898880,2759,942,8822107,145808,2016-07-01 02:31:39+00:00
